Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,lifecycle:transition,concept:name,AMOUNT_REQ
173688,A_SUBMITTED-COMPLETE,112,38:44.5,Variant 1,1,COMPLETE,A_SUBMITTED,20000
173688,A_PARTLYSUBMITTED-COMPLETE,112,38:44.9,Variant 1,1,COMPLETE,A_PARTLYSUBMITTED,20000
173688,A_PREACCEPTED-COMPLETE,112,39:37.9,Variant 1,1,COMPLETE,A_PREACCEPTED,20000
173688,W_Completeren aanvraag-SCHEDULE,112,39:38.9,Variant 1,1,SCHEDULE,W_Completeren aanvraag,20000
173688,W_Completeren aanvraag-START,,36:46.4,Variant 1,1,START,W_Completeren aanvraag,20000
173688,A_ACCEPTED-COMPLETE,10862,42:43.3,Variant 1,1,COMPLETE,A_ACCEPTED,20000
173688,O_SELECTED-COMPLETE,10862,45:09.2,Variant 1,1,COMPLETE,O_SELECTED,20000
173688,A_FINALIZED-COMPLETE,10862,45:09.2,Variant 1,1,COMPLETE,A_FINALIZED,20000
173688,O_CREATED-COMPLETE,10862,45:11.2,Variant 1,1,COMPLETE,O_CREATED,20000
173688,O_SENT-COMPLETE,10862,45:11.4,Variant 1,1,COMPLETE,O_SENT,20000
173688,W_Nabellen offertes-SCHEDULE,,45:11.6,Variant 1,1,SCHEDULE,W_Nabellen offertes,20000
173688,W_Completeren aanvraag-COMPLETE,,45:13.9,Variant 1,1,COMPLETE,W_Completeren aanvraag,20000
173688,W_Nabellen offertes-START,,15:41.3,Variant 1,1,START,W_Nabellen offertes,20000
173688,W_Nabellen offertes-COMPLETE,,17:08.9,Variant 1,1,COMPLETE,W_Nabellen offertes,20000
173688,W_Nabellen offertes-START,10913,26:57.7,Variant 1,1,START,W_Nabellen offertes,20000
173688,W_Nabellen offertes-COMPLETE,10913,32:00.9,Variant 1,1,COMPLETE,W_Nabellen offertes,20000
173688,W_Nabellen offertes-START,11049,32:22.5,Variant 1,1,START,W_Nabellen offertes,20000
173688,O_SENT_BACK-COMPLETE,11049,33:03.7,Variant 1,1,COMPLETE,O_SENT_BACK,20000
173688,W_Valideren aanvraag-SCHEDULE,11049,33:04.6,Variant 1,1,SCHEDULE,W_Valideren aanvraag,20000
173688,W_Nabellen offertes-COMPLETE,11049,33:05.8,Variant 1,1,COMPLETE,W_Nabellen offertes,20000
173688,W_Valideren aanvraag-START,10629,05:26.9,Variant 1,1,START,W_Valideren aanvraag,20000
173688,A_REGISTERED-COMPLETE,10629,37:29.2,Variant 1,1,COMPLETE,A_REGISTERED,20000
173688,A_APPROVED-COMPLETE,10629,37:29.2,Variant 1,1,COMPLETE,A_APPROVED,20000
173688,O_ACCEPTED-COMPLETE,10629,37:29.2,Variant 1,1,COMPLETE,O_ACCEPTED,20000
173688,A_ACTIVATED-COMPLETE,10629,37:29.2,Variant 1,1,COMPLETE,A_ACTIVATED,20000
173688,W_Valideren aanvraag-COMPLETE,10629,37:37.0,Variant 1,1,COMPLETE,W_Valideren aanvraag,20000
