Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,lifecycle:transition,concept:name,AMOUNT_REQ
173691,A_SUBMITTED-COMPLETE,112,08:58.3,Variant 2,2,COMPLETE,A_SUBMITTED,5000
173691,A_PARTLYSUBMITTED-COMPLETE,112,09:02.2,Variant 2,2,COMPLETE,A_PARTLYSUBMITTED,5000
173691,A_PREACCEPTED-COMPLETE,112,09:56.6,Variant 2,2,COMPLETE,A_PREACCEPTED,5000
173691,W_Completeren aanvraag-SCHEDULE,112,09:59.6,Variant 2,2,SCHEDULE,W_Completeren aanvraag,5000
173691,W_Completeren aanvraag-START,,37:32.4,Variant 2,2,START,W_Completeren aanvraag,5000
173691,W_Completeren aanvraag-COMPLETE,,43:13.2,Variant 2,2,COMPLETE,W_Completeren aanvraag,5000
173691,W_Completeren aanvraag-START,,27:57.8,Variant 2,2,START,W_Completeren aanvraag,5000
173691,A_ACCEPTED-COMPLETE,10862,33:54.6,Variant 2,2,COMPLETE,A_ACCEPTED,5000
173691,A_FINALIZED-COMPLETE,10862,35:46.0,Variant 2,2,COMPLETE,A_FINALIZED,5000
173691,O_SELECTED-COMPLETE,10862,35:46.0,Variant 2,2,COMPLETE,O_SELECTED,5000
173691,O_CREATED-COMPLETE,10862,35:47.5,Variant 2,2,COMPLETE,O_CREATED,5000
173691,O_SENT-COMPLETE,10862,35:47.6,Variant 2,2,COMPLETE,O_SENT,5000
173691,W_Nabellen offertes-SCHEDULE,,35:47.7,Variant 2,2,SCHEDULE,W_Nabellen offertes,5000
173691,W_Completeren aanvraag-COMPLETE,,35:48.8,Variant 2,2,COMPLETE,W_Completeren aanvraag,5000
173691,W_Nabellen offertes-START,,36:13.4,Variant 2,2,START,W_Nabellen offertes,5000
173691,W_Nabellen offertes-COMPLETE,,36:25.8,Variant 2,2,COMPLETE,W_Nabellen offertes,5000
173691,W_Nabellen offertes-START,,54:43.3,Variant 2,2,START,W_Nabellen offertes,5000
173691,O_SELECTED-COMPLETE,11120,56:17.7,Variant 2,2,COMPLETE,O_SELECTED,5000
173691,O_CANCELLED-COMPLETE,11120,56:17.7,Variant 2,2,COMPLETE,O_CANCELLED,5000
173691,O_CREATED-COMPLETE,11120,56:19.6,Variant 2,2,COMPLETE,O_CREATED,5000
173691,O_SENT-COMPLETE,11120,56:19.6,Variant 2,2,COMPLETE,O_SENT,5000
173691,W_Nabellen offertes-SCHEDULE,,56:19.9,Variant 2,2,SCHEDULE,W_Nabellen offertes,5000
173691,W_Nabellen offertes-COMPLETE,,56:21.2,Variant 2,2,COMPLETE,W_Nabellen offertes,5000
173691,W_Nabellen offertes-START,,56:34.8,Variant 2,2,START,W_Nabellen offertes,5000
173691,W_Nabellen offertes-COMPLETE,,57:16.6,Variant 2,2,COMPLETE,W_Nabellen offertes,5000
173691,W_Nabellen offertes-START,11049,13:44.8,Variant 2,2,START,W_Nabellen offertes,5000
173691,O_SENT_BACK-COMPLETE,11049,14:43.8,Variant 2,2,COMPLETE,O_SENT_BACK,5000
173691,W_Valideren aanvraag-SCHEDULE,11049,14:44.1,Variant 2,2,SCHEDULE,W_Valideren aanvraag,5000
173691,W_Nabellen offertes-COMPLETE,11049,14:45.5,Variant 2,2,COMPLETE,W_Nabellen offertes,5000
173691,W_Valideren aanvraag-START,10809,12:36.6,Variant 2,2,START,W_Valideren aanvraag,5000
173691,W_Valideren aanvraag-COMPLETE,10809,30:54.9,Variant 2,2,COMPLETE,W_Valideren aanvraag,5000
173691,W_Valideren aanvraag-START,10809,11:42.1,Variant 2,2,START,W_Valideren aanvraag,5000
173691,W_Valideren aanvraag-COMPLETE,10809,14:13.4,Variant 2,2,COMPLETE,W_Valideren aanvraag,5000
173691,W_Valideren aanvraag-START,10809,14:52.8,Variant 2,2,START,W_Valideren aanvraag,5000
173691,O_ACCEPTED-COMPLETE,10809,17:26.3,Variant 2,2,COMPLETE,O_ACCEPTED,5000
173691,A_APPROVED-COMPLETE,10809,17:26.3,Variant 2,2,COMPLETE,A_APPROVED,5000
173691,A_REGISTERED-COMPLETE,10809,17:26.3,Variant 2,2,COMPLETE,A_REGISTERED,5000
173691,A_ACTIVATED-COMPLETE,10809,17:26.3,Variant 2,2,COMPLETE,A_ACTIVATED,5000
173691,W_Valideren aanvraag-COMPLETE,10809,17:34.6,Variant 2,2,COMPLETE,W_Valideren aanvraag,5000
